Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Ford,EXPLORER,2002,2.2,Petrol,Semi-automatic,142381,2,2,4052
Volkswagen,TIGUAN,2010,4.0,Electric,Manual,286604,5,2,7367
Honda,CIVIC,2020,4.8,Hybrid,Manual,108790,5,5,13724
Ford,FIESTA,2007,3.5,Diesel,Automatic,196570,3,3,7268
Kia,OPTIMA,2001,2.4,Electric,Automatic,37724,5,1,9545
Audi,A3,2003,3.4,Petrol,Manual,212257,5,3,4154
Honda,CIVIC,2002,2.7,Diesel,Automatic,287023,2,3,3159
Kia,RIO,2022,2.5,Petrol,Automatic,36802,5,2,13963
Kia,SPORTAGE,2022,1.2,Electric,Manual,204252,3,5,9814
Honda,CIVIC,2013,1.8,Electric,Semi-automatic,83824,3,2,10123
Kia,RIO,2000,1.4,Hybrid,Manual,275230,4,5,2000
Audi,A3,2021,4.6,Electric,Semi-automatic,12072,2,1,16758
Audi,A4,2012,1.5,Petrol,Manual,273161,4,3,3736
Chevrolet,EQUINOX,2006,3.1,Petrol,Automatic,189547,2,5,6709
Hyundai,SONATA,2014,2.3,Diesel,Automatic,236942,2,3,7361
Toyota,COROLLA,2020,2.2,Electric,Automatic,170003,3,1,12399
Chevrolet,MALIBU,2021,2.7,Diesel,Semi-automatic,72300,3,4,11654
Volkswagen,PASSAT,2020,3.6,Hybrid,Semi-automatic,107321,3,4,12553
Toyota,COROLLA,2021,4.7,Electric,Automatic,14924,5,3,18301
Mercedes,E-CLASS,2006,1.3,Diesel,Manual,96152,3,4,5276
Chevrolet,EQUINOX,2010,1.2,Electric,Semi-automatic,176673,5,1,6766
Toyota,CAMRY,2017,3.5,Petrol,Manual,89607,2,2,10907
Bmw,3 SERIES,2010,4.2,Petrol,Manual,21962,3,4,10860
Honda,CIVIC,2015,1.5,Hybrid,Semi-automatic,277787,4,2,5544
Hyundai,ELANTRA,2005,2.6,Hybrid,Automatic,185366,3,4,6992
Hyundai,SONATA,2021,3.6,Diesel,Semi-automatic,246760,3,5,9064
Mercedes,GLA,2010,4.5,Diesel,Automatic,141286,4,1,10274
Ford,FOCUS,2016,4.3,Diesel,Automatic,247270,2,2,9754
Kia,OPTIMA,2022,3.3,Petrol,Automatic,11758,5,1,15264
Ford,EXPLORER,2012,1.7,Electric,Semi-automatic,149550,2,3,8409
Mercedes,C-CLASS,2003,4.4,Hybrid,Manual,106352,2,5,8272
Honda,ACCORD,2014,2.7,Electric,Manual,87328,5,1,11253
Chevrolet,MALIBU,2018,2.0,Electric,Automatic,102798,3,3,12944
Volkswagen,TIGUAN,2006,4.2,Diesel,Automatic,72222,2,2,10155
Kia,RIO,2013,1.9,Diesel,Automatic,190145,2,2,7597
Hyundai,SONATA,2018,4.6,Electric,Manual,15033,2,1,15799
Volkswagen,GOLF,2020,4.5,Electric,Automatic,257396,2,5,12952
Mercedes,E-CLASS,2016,2.4,Diesel,Automatic,227774,3,2,8244
Ford,FIESTA,2006,4.6,Petrol,Semi-automatic,133079,4,1,7838
Honda,CR-V,2012,4.8,Diesel,Manual,212662,2,5,8246
Kia,RIO,2020,1.3,Hybrid,Semi-automatic,232567,5,5,7748
Audi,Q5,2003,4.0,Petrol,Automatic,288560,4,2,4728
Chevrolet,IMPALA,2005,2.5,Diesel,Semi-automatic,1907,4,3,8061
Bmw,X5,2016,2.6,Petrol,Manual,203082,3,3,7438
Ford,EXPLORER,2002,3.2,Electric,Semi-automatic,8437,5,1,9731
Volkswagen,GOLF,2004,3.0,Diesel,Manual,265576,3,1,2988
Toyota,RAV4,2021,2.3,Electric,Manual,152081,5,3,11658
Ford,FOCUS,2007,3.9,Diesel,Manual,59761,5,2,8904
Honda,ACCORD,2002,1.7,Petrol,Automatic,261866,3,3,2662
Toyota,CAMRY,2013,1.6,Petrol,Semi-automatic,294269,5,3,3714
Hyundai,ELANTRA,2023,4.8,Electric,Automatic,137191,3,5,16556
Honda,ACCORD,2002,4.0,Petrol,Manual,86374,3,1,6972
Ford,EXPLORER,2007,4.7,Petrol,Manual,113957,5,4,8620
Toyota,COROLLA,2023,2.9,Electric,Semi-automatic,131448,3,2,13271
Kia,OPTIMA,2014,3.2,Hybrid,Semi-automatic,61057,4,5,11278
Audi,A4,2000,1.7,Electric,Semi-automatic,117433,5,3,5451
Chevrolet,IMPALA,2009,3.1,Diesel,Manual,137931,5,5,7141
Volkswagen,TIGUAN,2004,4.0,Electric,Manual,187692,2,3,7546
Ford,FOCUS,2014,3.6,Electric,Semi-automatic,197080,5,1,9958
Ford,FIESTA,2003,2.2,Electric,Automatic,181478,3,2,7070
Bmw,5 SERIES,2010,1.4,Diesel,Manual,90048,3,2,6699
Mercedes,E-CLASS,2013,1.7,Petrol,Automatic,92490,3,3,9350
Honda,ACCORD,2011,1.1,Electric,Automatic,178300,5,2,8434
Audi,Q5,2018,1.3,Hybrid,Automatic,299270,4,5,7314
Toyota,RAV4,2005,4.2,Diesel,Manual,152296,4,3,6754
Bmw,3 SERIES,2016,2.8,Electric,Semi-automatic,253986,4,4,8620
Audi,A3,2017,1.2,Electric,Semi-automatic,276224,4,5,6875
Mercedes,GLA,2018,4.7,Petrol,Semi-automatic,15328,4,3,13893
Kia,SPORTAGE,2000,2.9,Electric,Automatic,77600,2,2,8948
Bmw,5 SERIES,2007,3.6,Diesel,Automatic,250119,4,1,6297
Volkswagen,GOLF,2016,1.9,Diesel,Automatic,272693,4,4,6846
Mercedes,GLA,2011,2.0,Petrol,Manual,135568,5,5,6688
Bmw,5 SERIES,2002,3.9,Diesel,Manual,28072,5,3,8038
Ford,FIESTA,2000,3.5,Petrol,Manual,182277,5,1,3954
Toyota,COROLLA,2019,4.6,Electric,Manual,275523,2,1,10889
Audi,Q5,2018,3.9,Electric,Automatic,256588,2,4,11768
Chevrolet,MALIBU,2012,1.3,Hybrid,Semi-automatic,50330,4,2,8993
Hyundai,TUCSON,2018,4.2,Petrol,Semi-automatic,256480,5,5,8570
Chevrolet,IMPALA,2010,2.4,Hybrid,Automatic,86050,3,5,10279
Audi,A3,2019,2.8,Petrol,Automatic,275450,3,5,8591
Bmw,X5,2008,2.4,Petrol,Manual,78065,4,5,7338
Ford,FIESTA,2023,2.1,Diesel,Semi-automatic,151769,3,3,10064
Toyota,RAV4,2005,3.0,Petrol,Semi-automatic,26071,5,4,8078
Hyundai,TUCSON,2008,2.9,Petrol,Automatic,67698,4,2,9546
Chevrolet,EQUINOX,2009,3.8,Hybrid,Manual,285303,3,2,5893
Mercedes,GLA,2003,3.0,Hybrid,Automatic,217899,3,3,6142
Ford,FOCUS,2007,3.6,Hybrid,Manual,243957,2,1,5920
Hyundai,ELANTRA,2013,3.6,Diesel,Manual,225488,4,2,7090
Audi,Q5,2018,3.2,Hybrid,Automatic,246601,5,5,10267
Kia,RIO,2014,4.3,Petrol,Semi-automatic,46141,5,2,11677
Bmw,3 SERIES,2001,4.9,Hybrid,Automatic,205850,2,4,7683
Mercedes,C-CLASS,2013,3.5,Diesel,Manual,188157,2,1,7736
Hyundai,ELANTRA,2023,4.7,Petrol,Automatic,192826,3,3,13343
Chevrolet,EQUINOX,2020,1.5,Diesel,Manual,285725,5,4,5885
Kia,RIO,2005,4.1,Petrol,Semi-automatic,7131,3,4,9557
Volkswagen,TIGUAN,2004,3.6,Hybrid,Semi-automatic,29915,4,1,9301
Kia,RIO,2020,3.8,Hybrid,Manual,137014,4,3,12159
Toyota,COROLLA,2011,3.8,Hybrid,Manual,122932,3,1,9741
Bmw,X5,2013,4.7,Petrol,Automatic,198120,5,1,10237
Bmw,3 SERIES,2022,3.2,Petrol,Semi-automatic,98303,5,5,11933
Chevrolet,EQUINOX,2005,2.6,Hybrid,Semi-automatic,246894,5,1,4262
Ford,FIESTA,2007,1.7,Electric,Manual,43287,4,2,9034
Chevrolet,IMPALA,2004,4.7,Electric,Manual,172984,3,1,8540
Volkswagen,TIGUAN,2013,4.4,Hybrid,Semi-automatic,88847,4,5,11623
Mercedes,C-CLASS,2000,4.7,Petrol,Automatic,237644,2,3,5547
Audi,A4,2022,3.6,Electric,Automatic,187515,2,5,14049
Honda,CIVIC,2002,2.8,Electric,Semi-automatic,200704,4,2,5485
Ford,FOCUS,2006,1.3,Diesel,Manual,149961,3,3,4200
Volkswagen,PASSAT,2011,3.2,Hybrid,Automatic,97392,4,2,11152
Kia,RIO,2013,3.2,Electric,Semi-automatic,275008,4,4,7699
Chevrolet,IMPALA,2017,2.4,Hybrid,Automatic,175959,4,3,10580
Volkswagen,GOLF,2004,2.4,Electric,Semi-automatic,155609,3,1,6587
Mercedes,GLA,2023,3.2,Electric,Automatic,248673,4,5,12726
Chevrolet,IMPALA,2003,2.0,Petrol,Manual,200336,2,1,2993
Mercedes,C-CLASS,2017,3.7,Petrol,Automatic,139219,2,4,11615
Chevrolet,EQUINOX,2023,1.4,Diesel,Automatic,39761,3,3,13104
Kia,SPORTAGE,2019,3.6,Petrol,Semi-automatic,78107,5,1,11837
Ford,FIESTA,2007,4.7,Hybrid,Semi-automatic,103409,4,3,9831
Toyota,COROLLA,2004,1.8,Electric,Semi-automatic,143927,2,3,6221
Toyota,CAMRY,2021,3.1,Petrol,Semi-automatic,216534,4,1,9169
Ford,FOCUS,2002,4.6,Diesel,Manual,116970,5,5,6960
Ford,EXPLORER,2004,2.3,Hybrid,Manual,289970,5,3,2800
Chevrolet,EQUINOX,2020,1.9,Petrol,Automatic,157086,3,2,10358
Audi,A4,2021,4.6,Petrol,Automatic,118860,3,2,14122
Ford,FOCUS,2001,3.5,Hybrid,Manual,216165,2,4,4576
Toyota,COROLLA,2023,2.7,Diesel,Semi-automatic,63462,5,2,12430
Bmw,3 SERIES,2020,3.1,Hybrid,Automatic,111568,3,3,13468
Toyota,CAMRY,2008,4.3,Electric,Automatic,197059,5,3,10358
Honda,ACCORD,2010,3.4,Petrol,Automatic,277467,2,3,6450
Honda,CR-V,2003,1.5,Diesel,Manual,141067,2,4,3678
Volkswagen,TIGUAN,2022,4.2,Hybrid,Manual,6591,3,1,15768
Toyota,CAMRY,2021,3.2,Hybrid,Manual,65769,2,1,13284
Kia,OPTIMA,2019,4.3,Electric,Manual,259080,4,2,10918
Volkswagen,TIGUAN,2015,1.5,Diesel,Semi-automatic,82106,5,1,8457
Volkswagen,TIGUAN,2013,3.3,Diesel,Automatic,198138,5,3,8837
Toyota,COROLLA,2002,1.8,Diesel,Automatic,277426,3,1,2451
Volkswagen,GOLF,2018,2.4,Petrol,Semi-automatic,58716,4,1,10725
Hyundai,SONATA,2023,4.7,Hybrid,Manual,142982,5,3,13840
Kia,SPORTAGE,2001,3.3,Electric,Manual,134867,2,3,7002
Chevrolet,MALIBU,2007,1.7,Petrol,Semi-automatic,96592,5,1,5968
Ford,FIESTA,2023,2.4,Petrol,Manual,73797,2,1,11924
Volkswagen,PASSAT,2012,4.6,Petrol,Automatic,279125,3,3,8217
Ford,EXPLORER,2015,3.6,Petrol,Automatic,253554,3,4,8628
Ford,FIESTA,2018,1.6,Diesel,Manual,47344,4,5,10153
Audi,A4,2005,1.8,Hybrid,Semi-automatic,166364,2,3,5072
Honda,ACCORD,2009,1.7,Diesel,Manual,248458,4,1,3530
Volkswagen,TIGUAN,2006,2.6,Hybrid,Semi-automatic,83858,4,1,7822
Chevrolet,MALIBU,2023,2.1,Electric,Manual,23698,4,4,14626
Ford,FOCUS,2018,3.5,Petrol,Semi-automatic,212019,4,4,8759
Hyundai,SONATA,2015,1.6,Diesel,Automatic,138513,4,2,8929
Mercedes,E-CLASS,2001,3.5,Hybrid,Semi-automatic,203096,3,2,4838
Chevrolet,EQUINOX,2023,1.6,Electric,Automatic,169514,5,2,12709
Chevrolet,EQUINOX,2017,2.0,Petrol,Semi-automatic,52900,3,2,10142
Honda,CR-V,2002,2.3,Hybrid,Automatic,94746,2,1,7605
Volkswagen,PASSAT,2011,3.5,Electric,Automatic,104861,3,2,12302
Volkswagen,TIGUAN,2013,4.4,Petrol,Automatic,295496,4,3,7990
Chevrolet,IMPALA,2006,4.7,Hybrid,Semi-automatic,98919,4,2,9621
Bmw,X5,2022,4.6,Hybrid,Semi-automatic,191468,5,2,12470
Volkswagen,TIGUAN,2009,3.1,Hybrid,Manual,86334,5,5,9173
Honda,CR-V,2002,3.5,Hybrid,Manual,156493,4,4,6070
Ford,FOCUS,2011,2.4,Electric,Automatic,236192,4,2,8576
Toyota,CAMRY,2015,4.1,Electric,Manual,234926,5,5,10001
Bmw,3 SERIES,2005,2.3,Electric,Manual,124587,4,5,7408
Honda,ACCORD,2011,3.0,Petrol,Manual,264211,3,1,5115
Kia,OPTIMA,2018,1.3,Diesel,Manual,28680,5,4,10226
Audi,Q5,2021,4.5,Electric,Semi-automatic,149922,4,4,13901
Toyota,CAMRY,2009,1.9,Hybrid,Manual,244021,5,1,4819
Bmw,X5,2002,3.2,Petrol,Semi-automatic,191991,2,5,4060
Volkswagen,PASSAT,2020,3.9,Electric,Automatic,115410,2,2,15191
Honda,ACCORD,2016,1.6,Petrol,Semi-automatic,143592,4,5,7628
Honda,ACCORD,2019,1.4,Hybrid,Manual,37958,4,4,11440
Volkswagen,PASSAT,2023,3.0,Diesel,Automatic,264912,5,1,10201
Volkswagen,GOLF,2023,3.0,Diesel,Automatic,57429,3,5,14351
Bmw,3 SERIES,2022,1.4,Diesel,Automatic,17667,3,1,13246
Mercedes,GLA,2011,1.2,Diesel,Manual,88600,2,3,6828
Toyota,COROLLA,2002,2.0,Petrol,Automatic,32519,2,5,7549
Ford,FOCUS,2017,3.3,Electric,Semi-automatic,32629,2,5,13847
Honda,ACCORD,2004,2.9,Petrol,Automatic,274598,3,1,4208
Honda,CIVIC,2014,2.0,Hybrid,Semi-automatic,291584,4,2,5468
Chevrolet,MALIBU,2002,2.1,Electric,Automatic,85445,4,1,8591
Chevrolet,EQUINOX,2006,1.4,Hybrid,Automatic,16367,4,4,9472
Honda,ACCORD,2000,3.8,Electric,Semi-automatic,36358,2,5,9172
Ford,FIESTA,2003,3.2,Petrol,Semi-automatic,90532,3,3,6389
Volkswagen,PASSAT,2021,3.3,Hybrid,Automatic,172923,2,2,12741
Bmw,5 SERIES,2021,3.1,Diesel,Manual,18032,5,2,13139
Audi,A4,2022,4.0,Electric,Semi-automatic,146172,2,4,13776
Volkswagen,GOLF,2002,4.7,Hybrid,Semi-automatic,112996,5,4,8140
Kia,SPORTAGE,2000,4.3,Petrol,Automatic,285783,4,1,4184
Bmw,3 SERIES,2002,1.7,Hybrid,Manual,99211,2,3,5415
Honda,CIVIC,2007,2.8,Electric,Manual,245164,2,1,6096
Kia,RIO,2022,4.7,Electric,Manual,170105,5,3,13997
Hyundai,TUCSON,2012,3.4,Hybrid,Semi-automatic,142096,5,4,9258
Bmw,5 SERIES,2022,4.9,Hybrid,Automatic,117711,4,2,15745
Chevrolet,MALIBU,2017,3.5,Electric,Automatic,59665,3,1,15006
Honda,CIVIC,2012,1.1,Petrol,Semi-automatic,129020,5,2,6219
Mercedes,C-CLASS,2000,2.6,Hybrid,Automatic,115173,2,4,6896
Audi,A4,2006,3.0,Hybrid,Manual,16540,2,1,9569
Audi,A3,2008,3.9,Petrol,Manual,56022,4,4,9279
Kia,RIO,2018,2.9,Electric,Semi-automatic,98160,2,4,12436
Ford,FOCUS,2020,1.8,Hybrid,Semi-automatic,31221,4,1,12275
Chevrolet,IMPALA,2002,4.1,Diesel,Manual,38123,4,2,8037
Audi,A3,2000,2.1,Diesel,Semi-automatic,242155,4,4,2000
Toyota,CAMRY,2023,1.5,Diesel,Automatic,14232,5,1,13715
Mercedes,GLA,2012,3.6,Diesel,Manual,183970,2,5,7620
Ford,EXPLORER,2015,3.5,Petrol,Automatic,122697,4,4,11146
Volkswagen,PASSAT,2020,2.7,Electric,Automatic,295220,2,3,10395
Chevrolet,IMPALA,2007,4.8,Hybrid,Manual,185463,2,5,8290
Audi,A3,2012,1.4,Hybrid,Manual,58416,3,1,8931
Ford,EXPLORER,2005,4.8,Diesel,Semi-automatic,135967,4,2,7680
Toyota,RAV4,2011,1.6,Petrol,Semi-automatic,157351,2,5,5852
Ford,FIESTA,2009,4.8,Diesel,Semi-automatic,17704,4,1,11245
Hyundai,TUCSON,2016,3.5,Petrol,Semi-automatic,242941,5,1,7541
Toyota,CAMRY,2010,1.4,Electric,Automatic,139151,4,4,9216
Bmw,5 SERIES,2014,1.0,Diesel,Automatic,256630,5,1,5667
Hyundai,TUCSON,2001,2.2,Petrol,Manual,3482,4,1,6530
Audi,Q5,2021,4.2,Electric,Manual,182510,4,4,12949
Volkswagen,PASSAT,2012,2.9,Diesel,Semi-automatic,267772,2,3,5244
Chevrolet,EQUINOX,2011,1.8,Diesel,Manual,283202,5,3,3535
Hyundai,SONATA,2007,4.9,Petrol,Semi-automatic,96380,3,5,9172
Volkswagen,TIGUAN,2006,1.1,Petrol,Semi-automatic,149277,5,2,4014
Kia,OPTIMA,2016,2.5,Hybrid,Automatic,205614,4,3,9787
Bmw,5 SERIES,2005,4.8,Electric,Semi-automatic,152453,4,2,9350
Kia,RIO,2018,1.2,Petrol,Semi-automatic,4980,5,5,10600
Audi,A3,2014,4.6,Electric,Semi-automatic,236646,5,4,10167
Ford,FIESTA,2022,3.1,Petrol,Manual,3817,3,1,13723
Audi,A4,2022,3.0,Diesel,Automatic,271324,5,3,9773
Audi,A4,2008,4.8,Hybrid,Semi-automatic,139375,4,5,9512
Ford,FIESTA,2019,3.6,Hybrid,Semi-automatic,66083,2,3,13078
Bmw,X5,2022,4.6,Electric,Manual,37782,5,5,16544
Honda,ACCORD,2019,2.3,Diesel,Automatic,148008,4,1,10639
Honda,CR-V,2023,3.0,Diesel,Manual,136599,5,5,11268
Bmw,X5,2003,2.9,Petrol,Automatic,59216,2,1,8215
Hyundai,ELANTRA,2012,3.3,Electric,Automatic,77283,3,2,12954
Hyundai,SONATA,2007,4.5,Electric,Semi-automatic,77159,4,1,11156
Toyota,COROLLA,2018,2.5,Petrol,Manual,192443,2,5,8151
Ford,EXPLORER,2023,2.3,Electric,Manual,101136,4,4,13277
Kia,OPTIMA,2015,4.8,Hybrid,Semi-automatic,189504,5,4,10609
Toyota,CAMRY,2006,4.8,Electric,Semi-automatic,217019,5,4,8359
Kia,SPORTAGE,2000,3.6,Electric,Automatic,98150,2,1,9237
Ford,EXPLORER,2012,3.5,Hybrid,Automatic,44304,5,5,12813
Mercedes,C-CLASS,2016,2.8,Hybrid,Automatic,72677,5,3,12746
Ford,FIESTA,2007,5.0,Diesel,Manual,251657,2,1,6166
Ford,FIESTA,2002,3.8,Electric,Semi-automatic,159289,5,2,7314
Chevrolet,EQUINOX,2013,2.5,Diesel,Semi-automatic,180517,4,5,6889
Audi,A4,2013,2.0,Petrol,Automatic,25189,4,1,10996
Volkswagen,TIGUAN,2007,1.8,Diesel,Automatic,215686,2,1,5186
Ford,EXPLORER,2006,3.3,Hybrid,Semi-automatic,241454,2,3,5370
Bmw,X5,2005,1.2,Electric,Automatic,83276,2,3,8634
Audi,A3,2002,4.1,Petrol,Automatic,69875,5,2,8902
Honda,CIVIC,2008,3.9,Hybrid,Automatic,294391,5,4,7012
Volkswagen,PASSAT,2013,1.2,Hybrid,Manual,227806,3,5,5643
Audi,A4,2008,4.8,Electric,Automatic,280697,5,5,9186
Audi,A4,2019,4.2,Petrol,Semi-automatic,25155,3,2,13496
Toyota,COROLLA,2011,3.2,Electric,Semi-automatic,128745,5,2,10025
Bmw,5 SERIES,2015,3.7,Petrol,Semi-automatic,93100,5,5,10438
Chevrolet,EQUINOX,2018,1.0,Electric,Semi-automatic,265067,2,2,7198
Kia,OPTIMA,2019,1.8,Hybrid,Automatic,169832,4,2,10703
Toyota,RAV4,2008,4.9,Electric,Semi-automatic,299872,5,5,7402
Kia,RIO,2009,1.3,Petrol,Semi-automatic,29178,3,4,7516
Ford,FIESTA,2022,2.1,Diesel,Manual,120489,2,1,10390
Honda,CR-V,2009,3.1,Petrol,Semi-automatic,68912,4,2,8521
Kia,RIO,2007,2.5,Petrol,Manual,35984,5,5,7980
Volkswagen,PASSAT,2004,3.6,Hybrid,Semi-automatic,269148,2,4,4517
Toyota,RAV4,2007,1.6,Diesel,Semi-automatic,217311,3,2,3453
Chevrolet,EQUINOX,2008,3.7,Electric,Manual,175163,2,5,8696
Chevrolet,MALIBU,2022,3.1,Electric,Manual,65766,4,2,14484
Bmw,3 SERIES,2000,1.7,Petrol,Automatic,287222,5,1,2000
Hyundai,TUCSON,2015,3.0,Electric,Automatic,260437,2,5,9891
Chevrolet,IMPALA,2014,4.2,Hybrid,Manual,272984,4,5,8040
Mercedes,GLA,2006,3.4,Diesel,Manual,210479,5,5,5090
Honda,CR-V,2001,4.4,Diesel,Manual,169013,4,2,5419
Kia,OPTIMA,2010,2.5,Electric,Manual,59054,5,2,10418
Ford,EXPLORER,2002,4.0,Diesel,Automatic,119893,5,4,7802
Audi,Q5,2015,2.2,Diesel,Semi-automatic,269108,4,5,5417
Hyundai,ELANTRA,2009,4.1,Diesel,Semi-automatic,228873,2,3,6322
Kia,RIO,2003,4.1,Hybrid,Manual,209373,3,3,5912
Honda,CIVIC,2002,4.0,Electric,Manual,225497,5,1,6190
Volkswagen,TIGUAN,2017,4.3,Electric,Semi-automatic,20535,3,5,15089
Audi,A3,2005,4.0,Hybrid,Manual,106223,4,4,8475
Ford,FOCUS,2019,3.9,Electric,Semi-automatic,1639,4,5,15667
Ford,FOCUS,2000,2.0,Hybrid,Manual,277609,3,4,2000
Ford,FIESTA,2008,2.7,Hybrid,Semi-automatic,83722,5,1,8525
Honda,ACCORD,2020,1.8,Diesel,Automatic,43859,2,3,12522
Toyota,RAV4,2009,4.5,Hybrid,Automatic,12159,2,4,13556
Ford,FIESTA,2021,3.1,Petrol,Automatic,118970,3,2,12620
Hyundai,SONATA,2018,4.9,Petrol,Semi-automatic,170433,5,2,10991
Honda,CR-V,2017,5.0,Hybrid,Manual,297032,5,5,9259
Ford,FIESTA,2017,2.1,Petrol,Automatic,122987,4,1,10340
Chevrolet,IMPALA,2001,1.3,Diesel,Automatic,145662,4,3,4286
Mercedes,GLA,2003,3.6,Petrol,Automatic,207893,2,2,5942
Hyundai,TUCSON,2015,2.4,Petrol,Automatic,116682,2,3,10166
Bmw,3 SERIES,2016,2.2,Petrol,Semi-automatic,123732,3,2,8625
Toyota,COROLLA,2020,3.9,Diesel,Automatic,34167,3,4,14816
Volkswagen,TIGUAN,2003,3.4,Diesel,Manual,19996,3,2,8000
Ford,FOCUS,2012,4.6,Hybrid,Automatic,206405,5,5,10671
Toyota,CAMRY,2019,4.8,Petrol,Manual,142494,2,2,11750
Mercedes,C-CLASS,2002,3.6,Hybrid,Semi-automatic,173748,4,5,5825
Hyundai,SONATA,2013,1.2,Petrol,Automatic,222661,3,4,6246
Chevrolet,IMPALA,2022,4.9,Petrol,Automatic,102089,5,5,15058
Hyundai,SONATA,2017,2.8,Diesel,Automatic,260479,3,1,8290
Mercedes,C-CLASS,2008,3.4,Hybrid,Semi-automatic,278091,3,2,5338
Toyota,RAV4,2003,3.6,Hybrid,Semi-automatic,207321,5,2,5453
Chevrolet,MALIBU,2018,2.8,Petrol,Automatic,230958,4,1,9180
Volkswagen,PASSAT,2013,4.5,Hybrid,Semi-automatic,65084,3,3,12198
Volkswagen,TIGUAN,2022,4.4,Hybrid,Manual,97612,4,4,14147
Volkswagen,TIGUAN,2003,3.2,Electric,Semi-automatic,73151,4,4,8736
Ford,FIESTA,2011,4.0,Hybrid,Automatic,210158,2,2,9696
Kia,SPORTAGE,2023,1.4,Electric,Semi-automatic,244698,3,4,9506
Kia,RIO,2011,2.2,Petrol,Semi-automatic,274304,3,5,4113
Audi,A4,2023,3.9,Electric,Manual,154684,3,3,13806
Audi,Q5,2018,4.4,Hybrid,Automatic,149337,5,3,13413
Mercedes,E-CLASS,2008,4.0,Diesel,Automatic,271248,4,2,6575
Mercedes,C-CLASS,2004,2.5,Hybrid,Manual,98962,3,4,6820
Volkswagen,TIGUAN,2021,1.3,Diesel,Manual,164120,5,2,8417
Volkswagen,GOLF,2022,1.9,Electric,Automatic,24515,2,5,15609
Kia,RIO,2023,2.4,Diesel,Automatic,180980,5,2,11280
Honda,ACCORD,2020,3.0,Electric,Manual,42460,4,1,14250
Ford,FOCUS,2005,1.6,Electric,Semi-automatic,14853,3,3,8902
Volkswagen,GOLF,2000,2.1,Diesel,Automatic,70286,3,1,6294
Bmw,5 SERIES,2019,2.3,Hybrid,Semi-automatic,270864,2,1,7682
Toyota,CAMRY,2015,4.0,Diesel,Semi-automatic,126329,5,2,10073
Ford,FOCUS,2001,3.8,Hybrid,Automatic,226739,4,4,6165
Bmw,3 SERIES,2000,4.5,Electric,Semi-automatic,274401,4,3,5111
Hyundai,SONATA,2013,2.1,Electric,Automatic,227696,4,3,9046
Toyota,CAMRY,2015,3.7,Electric,Semi-automatic,74492,4,1,12810
Ford,FIESTA,2022,2.9,Diesel,Semi-automatic,135747,4,4,10885
Kia,OPTIMA,2011,3.0,Diesel,Manual,30805,5,3,9783
Mercedes,C-CLASS,2023,1.5,Electric,Semi-automatic,199403,3,5,10511
Kia,OPTIMA,2000,1.1,Hybrid,Manual,289881,3,3,2000
Audi,A3,2023,4.6,Petrol,Semi-automatic,292227,2,1,9755
Honda,ACCORD,2017,1.4,Electric,Semi-automatic,110132,2,5,10397
Hyundai,SONATA,2008,3.9,Hybrid,Automatic,289316,3,2,7113
Kia,SPORTAGE,2022,2.8,Hybrid,Manual,281596,5,5,8868
Volkswagen,PASSAT,2019,4.6,Hybrid,Automatic,28657,4,4,16326
Hyundai,TUCSON,2001,1.6,Diesel,Manual,209694,5,5,2000
Volkswagen,GOLF,2010,2.5,Diesel,Manual,296480,2,3,3670
Chevrolet,IMPALA,2007,1.4,Diesel,Manual,193425,5,3,3731
Kia,OPTIMA,2004,2.3,Petrol,Semi-automatic,142028,2,4,4759
Volkswagen,GOLF,2002,4.6,Hybrid,Manual,12628,2,1,10047
Volkswagen,GOLF,2015,4.7,Electric,Automatic,91544,3,1,14969
Hyundai,SONATA,2007,4.9,Diesel,Semi-automatic,30188,5,1,10496
Toyota,COROLLA,2016,1.6,Petrol,Semi-automatic,67192,2,4,9156
Ford,EXPLORER,2001,5.0,Hybrid,Manual,248527,3,2,5429
Bmw,5 SERIES,2003,3.0,Diesel,Semi-automatic,245888,3,1,3082
Toyota,RAV4,2005,1.4,Electric,Manual,153024,4,1,5939
Ford,FOCUS,2023,2.5,Petrol,Manual,9847,4,4,13303
Toyota,CAMRY,2012,4.8,Diesel,Manual,40530,2,3,11689
Bmw,X5,2010,3.8,Diesel,Manual,189193,3,5,7116
Volkswagen,TIGUAN,2003,3.5,Petrol,Manual,288928,3,3,2721
Kia,OPTIMA,2022,2.7,Diesel,Manual,154055,5,4,10318
Volkswagen,TIGUAN,2009,4.5,Hybrid,Manual,168429,5,5,8931
Volkswagen,TIGUAN,2015,1.1,Petrol,Semi-automatic,53792,3,5,8624
Ford,EXPLORER,2000,4.2,Petrol,Manual,185660,2,4,4586
Hyundai,SONATA,2011,1.5,Diesel,Semi-automatic,233134,4,1,4237
Bmw,5 SERIES,2018,1.2,Hybrid,Automatic,254393,4,1,8112
Volkswagen,TIGUAN,2009,3.0,Electric,Semi-automatic,99726,5,1,9805
Hyundai,TUCSON,2004,2.5,Hybrid,Semi-automatic,226047,3,1,4279
Toyota,COROLLA,2008,2.1,Diesel,Manual,20238,5,3,8195
Kia,RIO,2020,4.6,Hybrid,Automatic,236754,3,5,12464
Ford,FIESTA,2014,2.0,Petrol,Semi-automatic,82299,3,2,8654
Chevrolet,IMPALA,2008,2.8,Hybrid,Semi-automatic,63673,3,3,9026
